country,lrscale,imsmetn,imdfetn,impcntr,imbgeco,imueclt,imwbcnt,imtcjob,rlgueim,gndr,agea,ipeqopt,ipfrule,ipudrst,ipmodst,ipbhprp,impenv,imptrad,edu
CZ,4,2,2,2,7,7,7,6,5,1,49,3,5,2,5,6,6,6,0
CZ,5,2,2,2,8,7,6,7,7,1,68,5,5,5,6,6,5,6,0
CZ,5,2,1,2,8,7,6,7,6,2,36,5,5,5,4,2,6,5,0
CZ,4,2,2,2,6,6,6,6,7,2,43,4,5,4,5,6,5,6,1
CZ,5,2,1,2,6,6,6,7,5,1,66,4,5,3,6,6,6,6,0
CZ,5,1,1,1,7,6,7,9,6,1,70,4,5,6,6,5,6,5,0
CZ,5,1,1,1,5,8,8,8,6,1,30,6,6,4,6,6,6,6,1
CZ,3,3,3,3,7,7,7,7,7,1,58,6,5,4,6,6,5,6,0
CZ,4,2,2,1,7,7,6,6,5,2,40,5,5,4,6,6,6,5,0
CZ,7,2,2,2,6,6,6,8,7,1,71,6,6,4,6,6,6,5,1
CZ,5,2,2,2,5,5,5,5,7,1,34,1,5,3,6,6,5,5,0
CZ,5,2,1,2,8,7,7,8,6,1,40,4,5,5,5,5,5,3,0
CZ,8,2,2,2,5,5,5,5,5,2,70,5,4,6,4,6,4,5,0
CZ,8,3,3,2,5,3,5,3,5,2,33,5,4,5,4,5,5,5,1
CZ,10,2,3,1,5,8,6,3,3,2,77,6,5,6,5,5,4,5,0
CZ,9,2,2,2,8,6,6,5,5,2,33,6,5,6,5,5,5,6,0
CZ,10,2,2,2,4,3,5,4,5,2,74,5,5,6,4,5,5,6,0
CZ,9,2,2,2,7,6,5,3,7,2,39,5,5,5,5,5,4,5,0
CZ,8,2,2,2,5,5,5,5,5,2,30,5,3,5,4,5,4,5,1
CZ,7,2,2,2,5,5,5,5,5,2,40,4,3,5,4,5,5,5,0
CZ,6,3,3,3,5,5,5,1,7,1,55,4,5,5,4,5,6,6,0
CZ,3,2,1,2,8,5,6,7,10,1,30,6,5,5,4,2,6,3,0
CZ,3,3,2,2,7,7,7,7,7,2,55,5,5,5,4,4,6,3,1
CZ,5,2,2,2,6,7,6,7,7,1,56,3,4,3,3,4,4,3,0
CZ,8,2,2,2,8,8,8,7,7,2,31,5,5,5,6,5,4,3,0
CZ,5,1,1,1,9,10,10,8,8,1,35,3,6,6,4,4,5,5,1
CZ,0,3,1,2,7,6,6,6,6,2,78,4,5,4,6,6,5,6,0
CZ,4,2,2,2,6,6,6,7,6,1,74,3,3,2,2,3,4,4,0
CZ,5,2,2,2,6,6,6,7,6,1,37,4,3,3,3,3,4,4,0
CZ,5,3,2,2,6,6,6,6,6,1,39,4,4,3,2,3,4,3,1
CZ,5,2,2,2,7,7,7,6,6,2,69,4,3,3,3,3,3,3,0
CZ,5,3,2,2,6,5,6,6,6,2,51,4,3,5,3,3,3,3,1
CZ,10,2,2,2,7,6,7,7,5,1,44,5,5,5,4,4,5,3,1
CZ,1,2,1,1,6,4,6,6,5,1,72,5,6,5,5,4,4,6,0
CZ,5,2,2,1,3,5,5,5,8,2,67,5,5,6,4,5,4,5,0
CZ,4,3,3,2,5,8,2,5,8,2,60,5,4,5,2,5,5,4,0
CZ,10,2,1,2,7,6,7,9,3,1,39,5,4,5,4,5,4,6,0
CZ,5,1,1,1,10,5,8,10,5,2,47,6,4,5,4,5,5,5,0
CZ,5,2,2,2,4,3,5,10,5,1,48,5,4,5,5,5,5,6,0
CZ,5,2,2,2,4,3,4,7,3,2,88,5,3,6,4,4,4,4,1
CZ,5,3,3,3,10,10,10,10,10,2,50,5,4,4,4,4,4,5,0
CZ,8,3,2,2,5,5,5,5,5,2,71,5,5,5,5,4,5,4,0
CZ,4,3,2,2,6,6,5,8,6,1,45,5,5,4,6,6,6,6,1
CZ,5,2,2,2,6,5,5,8,6,2,43,6,6,6,6,6,6,5,0
CZ,10,1,2,2,7,7,9,5,8,2,48,3,3,3,3,3,3,3,1
CZ,5,2,3,3,5,6,5,7,4,1,47,5,2,5,6,5,4,5,0
CZ,10,2,2,1,9,9,9,9,9,1,60,5,6,5,6,6,6,6,0
CZ,8,2,1,1,6,6,6,5,9,1,24,5,5,4,5,5,5,5,1
CZ,8,3,1,2,5,6,6,9,8,2,31,5,5,5,5,5,5,5,0
CZ,0,3,1,2,7,6,7,9,5,2,70,5,5,4,6,6,5,5,0
CZ,5,2,1,2,7,6,6,7,6,1,34,4,4,3,3,4,4,4,0
CZ,6,3,2,2,6,6,6,6,6,1,37,4,3,3,3,3,3,3,1
CZ,5,2,2,2,7,6,7,7,6,2,32,4,3,3,3,4,4,4,0
CZ,4,2,2,2,7,7,7,7,7,1,57,4,4,3,4,4,4,4,0
CZ,4,2,2,2,7,7,7,7,6,1,60,3,2,2,2,2,2,2,0
CZ,1,1,1,1,6,9,6,6,5,1,39,6,2,6,1,1,2,2,1
CZ,8,2,1,2,9,7,9,9,5,1,35,5,3,5,4,4,4,4,0
CZ,10,1,1,1,10,10,10,10,10,2,50,3,2,4,3,4,6,6,0
CZ,5,2,2,2,7,5,6,7,5,2,16,3,3,3,3,3,4,4,0
CZ,5,2,2,2,6,6,6,6,5,1,53,4,3,3,3,3,3,3,0
CZ,5,2,2,2,6,6,6,6,6,1,31,3,4,3,3,3,3,3,0
CZ,7,3,3,3,7,2,6,6,1,1,18,5,1,2,1,2,5,4,0
CZ,10,3,3,3,5,5,5,5,5,2,33,4,4,3,1,4,5,6,1
CZ,4,2,2,2,7,10,8,10,6,1,21,3,2,3,4,3,5,2,0
CZ,8,2,2,2,5,4,7,8,5,2,55,4,4,4,2,3,4,4,0
CZ,8,3,2,3,7,6,6,10,5,1,31,4,4,4,3,4,4,4,0
CZ,0,1,1,1,9,8,9,10,5,2,43,3,3,3,2,3,6,6,0
CZ,5,2,1,1,5,5,5,5,4,2,23,5,5,5,4,4,4,4,0
CZ,5,4,4,4,3,5,1,5,0,2,60,4,4,6,3,6,4,6,0
CZ,8,3,3,2,7,7,5,10,3,2,34,3,3,2,2,4,4,4,1
CZ,5,2,2,3,8,5,5,6,5,2,48,6,4,3,3,4,6,5,0
CZ,3,3,1,1,4,4,6,7,5,1,20,4,4,4,3,4,5,4,0
CZ,10,1,1,1,10,10,10,5,5,1,30,3,4,4,3,3,5,6,0
CZ,7,2,2,2,7,6,7,5,0,1,30,2,2,6,6,6,5,5,0
CZ,8,2,2,2,7,6,6,6,5,2,34,4,4,5,4,5,6,4,0
CZ,5,2,1,1,6,5,7,7,5,1,50,4,3,3,5,2,3,4,0
CZ,0,2,1,1,7,7,8,7,5,2,55,6,5,6,6,5,6,6,0
CZ,1,2,2,2,5,4,5,6,5,2,52,5,2,5,6,5,6,4,0
CZ,2,2,2,2,5,5,5,5,5,1,31,5,3,4,6,3,4,5,0
CZ,2,2,2,2,6,4,4,6,5,1,35,6,5,4,4,4,5,6,1
CZ,5,1,1,1,10,10,10,10,5,2,46,3,5,4,5,4,5,4,0
CZ,10,1,1,1,6,4,6,6,5,1,32,4,5,4,5,4,4,4,1
CZ,3,1,1,1,8,5,7,7,5,1,73,5,5,5,5,4,6,5,1
CZ,5,2,2,2,5,5,5,7,5,1,53,6,5,4,6,6,5,6,1
CZ,4,1,1,1,8,7,7,7,7,2,32,5,5,5,6,6,5,6,0
CZ,5,3,3,3,7,5,5,5,5,2,47,5,5,5,5,5,5,5,0
CZ,5,2,2,2,7,6,6,6,6,2,65,5,5,4,6,6,5,6,0
CZ,3,1,2,2,7,7,6,6,5,2,69,4,6,4,5,5,5,6,0
CZ,5,2,2,2,8,8,7,7,7,2,65,4,6,4,6,5,6,6,1
CZ,5,1,1,1,8,8,8,8,7,2,68,5,6,4,6,6,5,6,1
CZ,7,3,3,2,4,3,2,2,3,2,56,2,4,3,4,3,2,4,0
CZ,3,1,1,1,7,7,7,7,6,1,29,4,6,3,5,6,5,5,0
CZ,8,3,3,3,8,8,8,8,5,2,27,5,2,4,2,3,2,2,0
CZ,5,2,2,2,5,5,5,7,5,2,65,5,4,3,5,4,6,4,0
CZ,7,2,2,2,7,6,6,6,4,2,35,4,2,5,4,3,5,4,0
CZ,7,4,3,3,3,4,5,3,6,1,27,5,5,5,4,5,2,6,0
CZ,5,3,3,3,5,6,5,5,8,2,57,5,3,5,4,3,5,3,0
CZ,5,2,3,2,5,6,5,5,2,2,41,5,5,4,5,5,4,5,1
CZ,7,3,3,3,3,4,3,3,3,2,27,2,3,5,4,3,6,2,1
CZ,5,1,1,1,10,10,10,10,0,2,47,6,1,5,6,6,6,5,0
CZ,6,2,2,2,5,5,5,5,9,1,39,5,4,5,2,2,4,4,0
CZ,10,2,2,2,10,10,10,7,7,2,16,5,3,2,2,2,4,4,0
CZ,8,2,2,2,4,3,5,5,5,2,56,5,5,5,4,6,5,3,0
CZ,3,1,1,1,10,10,10,10,8,2,34,4,4,5,6,4,6,6,0
CZ,2,3,3,1,4,6,4,6,4,2,38,5,6,5,4,5,3,5,0
CZ,3,2,2,2,6,5,6,6,5,2,33,4,4,5,4,5,4,3,1
CZ,0,3,3,2,5,5,5,5,5,2,61,5,3,5,5,5,6,5,0
CZ,8,4,3,3,1,5,5,5,6,1,32,6,6,6,4,3,6,5,1
CZ,5,3,3,2,6,5,5,5,5,2,68,6,5,5,5,5,6,5,0
CZ,5,2,2,1,6,10,8,10,5,2,86,6,5,4,6,6,6,3,0
CZ,8,3,2,1,5,5,6,4,5,1,49,4,3,3,5,5,5,6,1
CZ,8,3,2,2,4,5,5,5,5,1,45,4,5,5,4,5,5,3,1
CZ,3,2,1,1,5,5,5,6,5,2,74,5,5,4,4,6,5,6,0
CZ,7,3,2,2,6,5,5,5,6,1,44,5,4,4,3,5,5,4,1
CZ,3,4,3,3,4,3,5,5,5,2,60,3,5,4,4,5,4,3,1
CZ,10,3,2,2,7,7,5,5,5,1,34,4,5,3,2,5,4,2,0
CZ,10,2,1,1,10,8,10,10,5,2,37,4,4,4,4,4,4,4,0
CZ,5,1,1,1,10,10,10,10,5,1,52,2,4,2,4,3,2,5,0
CZ,7,3,3,3,6,3,6,8,3,1,42,3,5,4,4,4,3,5,0
CZ,9,3,3,3,5,4,5,7,5,2,25,3,4,4,3,3,3,5,0
CZ,5,2,3,2,7,6,5,7,6,1,38,5,5,2,4,1,5,3,0
CZ,5,2,2,2,7,5,6,6,6,2,27,2,2,4,2,5,3,2,0
CZ,5,2,2,1,7,5,6,6,6,1,41,2,3,5,2,4,2,3,0
CZ,5,2,2,2,6,5,3,6,6,2,40,5,2,5,3,4,2,4,0
CZ,5,3,3,3,5,5,5,5,5,1,55,6,6,4,6,6,6,6,0
CZ,3,1,1,1,8,10,10,10,10,1,52,5,5,3,4,5,5,6,0
CZ,3,1,1,1,10,10,10,8,10,2,36,6,6,5,6,6,4,6,0
CZ,6,2,2,2,6,5,6,7,6,2,38,4,4,1,5,5,1,5,0
CZ,5,2,3,2,7,5,6,7,6,1,32,4,4,3,6,1,5,2,0
CZ,5,2,1,2,7,6,5,7,6,2,45,5,4,2,3,3,5,1,0
CZ,2,2,2,2,6,4,5,5,5,2,31,4,5,5,4,4,6,4,0
CZ,3,3,2,2,5,4,5,6,4,1,36,4,5,5,4,4,4,3,0
CZ,9,1,1,1,9,7,9,6,6,1,44,4,4,5,4,4,3,3,0
CZ,3,2,2,2,4,3,5,6,3,2,63,4,5,2,4,4,5,5,0
CZ,10,2,2,2,3,3,3,5,3,2,55,5,4,4,2,4,5,5,1
CZ,9,3,2,2,5,3,5,5,3,1,30,2,2,1,1,2,2,4,0
CZ,8,2,2,2,4,4,4,4,3,1,34,3,4,2,3,4,2,4,0
CZ,5,1,1,1,10,9,4,5,5,2,61,4,3,4,5,5,3,2,0
CZ,5,1,1,1,7,8,7,7,7,1,38,4,5,3,4,4,4,3,0
CZ,4,1,1,1,5,6,6,8,8,2,59,5,5,4,6,4,4,5,0
CZ,5,2,2,1,7,6,7,8,8,2,47,3,3,5,3,5,5,3,0
CZ,4,2,2,2,7,4,4,8,6,1,51,3,4,4,4,5,5,5,0
CZ,0,1,1,1,7,8,6,8,5,2,34,2,3,4,4,4,4,2,0
CZ,2,2,2,2,5,4,9,5,5,2,37,4,5,3,3,5,5,5,0
CZ,0,2,2,2,7,7,8,8,4,1,64,3,5,5,3,4,3,4,0
CZ,6,3,3,3,5,5,5,6,7,1,61,5,5,4,4,3,4,3,1
CZ,2,1,1,1,8,8,8,9,7,1,76,5,5,1,4,4,2,2,0
CZ,8,2,2,2,5,5,5,8,5,2,48,6,6,4,3,6,5,6,0
CZ,3,1,1,1,6,6,6,7,5,2,64,6,6,3,5,6,5,6,0
CZ,8,1,1,1,5,5,5,5,5,2,34,6,6,4,4,4,6,6,1
CZ,8,1,1,1,8,8,8,8,7,2,37,5,5,1,2,4,3,6,0
CZ,5,1,1,1,10,9,10,10,10,1,45,5,5,4,4,6,4,4,0
CZ,5,2,1,1,6,6,5,8,6,1,34,3,4,3,3,4,3,3,0
CZ,5,1,1,1,8,7,7,7,7,2,66,3,3,2,4,4,3,3,0
CZ,5,2,2,2,6,6,6,7,6,1,61,3,4,3,3,4,4,4,0
CZ,1,3,2,2,7,7,7,6,5,2,68,4,5,2,4,4,4,6,0
CZ,10,3,2,2,4,3,6,6,3,1,23,3,4,2,2,4,3,4,0
CZ,5,1,1,1,8,8,8,8,8,2,64,4,5,2,5,5,3,5,0
CZ,5,4,2,2,6,4,6,5,6,2,46,2,1,5,3,5,1,3,0
CZ,4,3,2,2,5,6,3,7,5,1,64,3,1,5,3,5,3,4,0
CZ,5,2,2,2,5,6,3,5,6,2,37,4,5,3,4,1,4,2,0
CZ,5,2,2,2,6,3,6,6,6,2,29,3,3,4,1,2,4,2,0
CZ,5,1,2,2,6,5,4,5,5,2,36,3,5,2,3,3,5,2,0
CZ,4,2,2,2,7,5,4,5,6,2,32,4,4,1,5,2,4,1,0
CZ,5,2,2,2,7,5,4,6,3,2,35,2,2,5,3,3,5,3,0
CZ,3,3,3,3,5,4,5,4,3,1,71,6,6,6,5,6,6,5,0
CZ,6,4,2,2,4,4,4,2,3,2,33,4,5,5,4,6,5,5,0
CZ,5,2,1,1,10,8,9,5,10,2,38,3,4,3,5,5,6,5,0
CZ,5,2,3,3,7,5,7,7,5,2,26,4,2,6,5,2,4,2,0
CZ,5,1,1,1,10,10,10,10,10,1,36,4,2,4,4,4,4,4,0
CZ,5,1,1,1,10,10,10,10,0,2,30,6,1,4,4,1,5,4,0
CZ,7,1,1,1,10,10,10,10,10,2,44,4,4,6,3,4,5,6,0
CZ,8,3,3,3,8,7,7,6,9,2,28,5,4,5,3,4,5,5,0
CZ,7,1,1,1,10,10,10,7,10,1,31,5,2,4,3,3,5,4,0
CZ,7,3,2,2,4,7,5,4,10,1,66,6,6,6,4,5,6,6,0
CZ,3,2,1,2,10,0,3,10,5,2,53,5,3,2,5,5,5,5,0
CZ,5,2,2,2,7,5,8,10,5,1,52,4,4,4,4,4,4,4,0
CZ,4,1,1,1,7,7,8,6,7,1,68,5,4,5,5,5,6,3,0
CZ,5,3,3,3,5,5,5,3,5,1,64,4,4,4,3,4,3,3,0
CZ,5,3,1,1,9,6,4,8,5,1,41,5,4,3,3,5,5,3,0
CZ,7,3,2,3,7,7,4,6,8,2,45,4,5,2,5,3,4,5,0
CZ,4,1,1,1,8,8,4,6,2,1,65,5,4,6,4,4,3,5,1
CZ,3,2,2,1,8,7,6,5,9,2,70,4,6,5,4,4,6,2,0
CZ,3,4,2,2,4,4,5,6,7,1,59,5,5,4,5,5,5,4,0
CZ,7,2,1,1,6,7,7,7,5,2,28,5,5,3,4,5,2,4,0
CZ,2,3,1,1,6,7,7,7,7,2,61,4,5,3,5,4,4,5,0
CZ,8,3,3,2,7,7,6,7,4,1,20,4,4,3,3,5,4,5,0
CZ,6,1,1,1,9,9,9,8,7,2,40,3,4,3,3,4,3,5,0
CZ,8,4,4,4,3,2,2,2,3,2,37,5,5,4,5,4,4,3,0
CZ,6,3,2,3,8,6,7,10,1,1,31,1,1,4,2,1,4,4,0
CZ,3,2,1,2,7,6,6,9,3,2,58,2,6,6,6,6,6,6,0
CZ,5,3,3,3,8,9,8,9,7,2,29,4,5,6,5,5,6,4,0
CZ,3,2,2,1,8,7,8,9,5,1,57,3,4,3,4,3,4,4,0
CZ,1,2,1,2,6,5,8,10,5,2,30,6,4,3,6,5,5,6,0
CZ,7,2,2,2,6,7,9,8,9,2,48,6,4,5,6,4,5,6,0
CZ,7,2,2,2,6,6,7,7,6,1,65,3,5,3,4,4,4,5,1
CZ,9,4,1,1,6,6,6,8,4,2,43,3,1,1,1,1,4,6,0
CZ,2,3,3,3,6,6,7,3,2,2,60,4,4,3,2,6,6,4,0
CZ,9,1,1,1,10,9,8,8,10,1,30,4,4,4,1,1,4,3,0
CZ,5,3,3,3,6,3,7,6,3,1,21,3,5,3,1,4,6,6,0
CZ,0,3,4,2,4,4,3,4,0,2,73,6,6,1,1,3,6,6,0
CZ,9,4,1,1,7,6,8,7,6,1,33,3,3,2,4,4,4,4,0
CZ,10,4,3,3,5,0,1,5,4,1,43,3,3,4,5,2,4,3,1
CZ,10,3,3,3,8,8,7,9,6,2,22,4,3,4,1,4,4,4,0
CZ,10,3,3,2,9,9,10,10,4,2,37,3,3,6,6,4,4,4,0
CZ,2,2,3,3,6,8,6,5,5,2,51,4,5,5,4,5,5,6,0
CZ,6,3,2,3,5,8,10,9,8,1,18,4,4,6,4,4,5,5,0
CZ,8,3,3,2,7,5,7,5,7,2,36,4,4,4,4,3,5,3,0
CZ,3,3,3,2,8,4,5,5,4,2,54,4,4,6,6,5,6,4,0
CZ,10,3,2,2,7,10,5,7,8,2,22,3,4,4,3,5,4,5,0
CZ,5,3,2,1,0,5,7,10,5,2,39,2,4,5,6,5,5,5,0
CZ,1,1,1,2,7,5,7,7,5,2,16,4,2,5,5,6,5,2,0
CZ,5,2,2,1,7,8,6,6,8,1,52,6,5,5,5,5,5,6,0
CZ,8,3,2,2,8,7,7,8,7,1,41,4,5,4,5,5,6,5,0
CZ,5,1,1,1,10,10,10,8,10,2,28,4,4,5,4,4,5,5,0
CZ,5,1,1,1,10,10,10,10,10,1,55,3,4,4,3,4,4,5,0
CZ,7,2,2,2,7,5,8,7,9,2,24,6,6,6,6,5,6,6,0
CZ,5,1,1,1,10,6,8,10,5,1,62,2,6,6,4,6,6,5,0
CZ,5,3,3,2,10,10,10,10,10,1,33,6,6,6,6,6,6,6,0
CZ,5,2,2,2,5,0,5,10,0,2,52,4,5,5,5,5,4,4,0
CZ,0,2,2,2,10,10,7,10,10,1,57,6,5,5,5,6,6,6,0
CZ,0,3,2,3,5,5,5,5,5,2,47,5,5,5,5,5,5,5,0
CZ,3,2,2,2,7,8,7,7,5,1,43,5,5,4,6,6,5,5,1
CZ,3,3,3,3,7,7,7,5,5,1,66,4,5,4,6,6,5,6,0
CZ,1,2,2,2,7,4,5,4,9,2,71,4,2,4,3,3,5,3,0
CZ,5,1,1,1,9,9,9,10,5,2,46,1,1,1,1,1,1,5,0
CZ,7,4,3,3,3,3,5,5,5,2,40,6,5,4,4,5,5,5,0
CZ,3,3,3,3,7,6,6,6,6,2,68,6,5,5,4,5,5,4,0
CZ,6,3,2,1,6,5,7,6,7,1,41,5,5,4,4,5,5,5,0
CZ,7,2,2,2,7,7,7,9,5,2,45,4,5,4,5,5,5,6,1
CZ,5,1,1,2,8,8,7,8,5,2,30,5,5,5,6,5,4,6,0
CZ,8,1,1,1,9,9,9,9,9,2,25,6,3,5,4,4,6,6,0
CZ,2,2,2,2,8,6,7,6,7,2,70,6,5,4,6,6,6,6,0
CZ,4,3,2,2,6,6,5,7,5,1,53,5,6,5,4,6,5,5,0
CZ,8,3,2,2,6,8,5,5,6,1,66,5,5,4,5,6,5,5,0
CZ,8,2,1,1,9,6,8,8,10,1,25,6,4,3,4,3,4,3,1
CZ,4,2,2,1,9,7,8,9,9,2,37,4,5,4,5,4,3,5,0
CZ,5,4,3,3,5,4,5,5,4,2,33,5,3,4,5,5,3,3,1
CZ,3,2,2,2,7,8,8,8,6,2,34,5,3,6,4,5,5,6,1
CZ,5,3,3,2,7,6,6,6,6,2,78,6,5,5,6,6,4,4,0
CZ,5,2,2,2,6,6,6,7,6,2,54,3,4,3,3,4,4,3,0
CZ,4,3,2,2,6,7,7,7,7,1,43,4,4,3,3,3,3,3,1
CZ,3,2,2,1,6,7,6,7,6,1,76,3,3,2,3,4,4,4,0
CZ,0,2,1,2,7,5,7,5,7,2,69,4,5,3,2,2,3,4,0
CZ,2,2,2,2,7,8,7,6,7,1,71,4,4,3,5,4,4,4,0
CZ,3,1,1,2,7,8,5,7,5,1,65,4,5,5,6,6,4,5,0
CZ,8,2,2,2,3,5,5,7,8,1,44,4,5,5,5,6,4,6,0
CZ,5,1,1,1,8,8,8,8,7,2,38,5,6,4,6,6,5,6,1
CZ,7,3,3,3,7,6,5,8,7,2,41,5,4,4,5,4,6,5,0
CZ,5,2,2,1,7,7,6,5,5,2,41,4,4,5,4,5,4,4,0
CZ,5,3,2,3,4,5,7,10,7,1,17,4,5,3,5,4,4,6,0
CZ,8,2,3,3,5,7,9,7,5,2,37,5,4,3,5,5,5,5,1
CZ,9,4,3,3,9,7,8,3,2,1,17,5,5,6,6,4,5,5,0
CZ,3,1,2,2,10,10,9,10,7,1,52,5,4,4,5,4,5,4,0
CZ,6,3,2,2,8,3,5,5,5,2,43,3,5,5,5,5,5,2,0
CZ,0,3,1,2,10,9,6,10,8,2,63,1,2,5,2,4,5,2,0
CZ,5,3,3,3,6,7,5,5,8,2,59,6,4,5,4,5,6,4,0
CZ,5,1,1,1,7,6,8,8,8,2,33,4,4,5,4,4,5,5,0
CZ,6,2,1,1,7,8,8,6,8,2,32,5,4,3,4,5,5,6,0
CZ,5,3,1,3,6,5,6,7,8,2,38,6,6,5,6,4,2,5,0
CZ,6,4,2,3,6,4,4,8,8,1,53,5,5,5,6,4,6,6,0
CZ,5,4,2,3,6,6,6,6,7,2,62,3,4,4,5,4,4,5,0
CZ,8,3,3,3,5,5,4,4,7,2,36,4,4,5,4,5,4,4,0
CZ,8,3,2,1,6,6,5,3,5,2,37,5,4,4,4,3,4,4,0
CZ,8,3,3,3,3,7,6,7,8,2,36,5,6,6,5,4,4,4,0
CZ,5,3,2,2,9,8,7,9,9,1,34,6,5,5,4,6,6,5,1
CZ,9,4,3,3,7,2,3,6,3,2,32,5,5,6,5,4,5,5,0
CZ,6,3,3,3,8,7,2,1,7,2,29,5,5,5,5,5,6,6,0
CZ,3,2,2,2,5,5,10,6,4,1,66,4,4,3,3,4,6,6,0
CZ,8,2,2,2,4,3,5,6,3,2,27,3,3,2,2,2,4,5,0
CZ,4,2,1,1,5,5,5,7,4,2,57,4,5,2,4,5,2,4,0
CZ,3,1,1,1,8,9,2,7,8,2,55,5,4,4,3,5,4,3,0
CZ,3,2,1,2,8,8,7,10,6,1,59,5,6,5,5,5,6,3,0
CZ,5,1,1,1,7,6,7,8,8,1,38,5,4,3,5,5,4,4,0
CZ,5,2,2,2,10,6,6,8,5,2,26,5,4,6,5,4,5,4,0
CZ,10,2,2,2,6,8,8,7,8,1,48,4,5,5,5,6,5,4,1
CZ,0,3,1,1,8,5,5,8,10,2,66,6,5,6,5,6,5,5,0
CZ,8,3,3,2,3,2,7,6,2,1,24,3,4,4,3,5,5,2,1
CZ,6,2,2,2,7,8,7,7,6,1,62,5,4,5,5,6,5,6,0
CZ,2,2,2,2,7,8,8,7,6,2,64,5,5,5,5,6,6,6,0
CZ,3,4,1,2,7,8,8,7,7,2,68,5,5,5,5,5,4,5,0
CZ,2,4,3,3,3,3,4,2,10,2,68,6,6,6,4,6,6,6,0
CZ,1,3,3,3,6,4,5,6,8,1,56,6,5,5,5,5,6,6,0
CZ,6,3,2,2,5,2,6,6,7,2,37,4,6,5,4,3,4,6,0
CZ,2,3,2,2,5,8,9,9,8,1,63,4,4,4,3,4,5,5,0
CZ,7,2,1,3,5,4,5,7,7,1,48,5,5,6,5,5,6,5,0
CZ,8,2,2,2,5,5,4,4,4,1,56,5,6,5,4,5,6,5,0
CZ,8,2,2,2,6,6,7,6,10,2,70,6,5,5,5,6,6,5,0
CZ,7,3,2,3,5,8,7,8,5,2,37,3,5,4,4,4,4,6,0
CZ,4,2,2,2,5,9,6,9,5,1,22,5,5,6,4,5,4,5,0
CZ,8,2,3,2,5,5,5,10,3,2,55,5,4,5,4,5,6,5,1
CZ,4,3,3,3,8,2,7,5,7,2,30,5,5,5,5,5,6,5,0
CZ,3,1,1,1,7,5,7,5,7,2,36,4,4,4,4,5,5,5,0
CZ,3,2,2,2,7,7,8,7,7,1,65,5,5,4,4,5,5,5,0
CZ,8,4,3,3,3,3,5,8,6,1,58,5,5,4,5,6,6,5,0
CZ,2,2,1,1,4,6,7,5,6,2,42,5,4,4,5,5,5,5,0
CZ,8,3,2,2,8,8,8,7,7,2,52,5,5,3,5,6,4,5,1
CZ,4,2,2,1,7,8,7,9,5,1,64,5,4,4,5,5,5,5,0
CZ,5,3,2,2,7,6,6,6,6,2,72,5,5,4,6,5,5,6,0
CZ,4,2,1,2,6,6,7,7,5,2,41,6,3,3,4,2,5,5,0
CZ,6,2,1,1,4,5,4,5,5,1,73,5,4,4,5,5,6,5,1
CZ,5,2,1,1,7,6,6,7,5,1,74,5,4,4,5,6,6,6,1
CZ,2,2,2,2,4,5,6,7,6,1,64,3,4,4,5,5,5,5,0
CZ,4,2,1,2,6,6,6,7,5,2,54,5,5,5,4,4,5,6,0
CZ,5,3,2,2,6,5,6,6,5,2,47,5,4,5,3,3,6,6,0
CZ,3,1,1,1,8,7,6,8,5,1,76,4,4,4,5,5,5,5,0
